,fraud_count,legit_count,fraud_ratio,total_count
safeguards,7,7,0.875,14
learnt,6,6,0.8571428571428571,12
wifi,24,27,0.8571428571428571,51
salesman,6,6,0.8571428571428571,12
refinery,6,6,0.8571428571428571,12
clerical,66,77,0.8461538461538461,143
tour,21,24,0.84,45
wind,5,5,0.8333333333333334,10
specialties,5,5,0.8333333333333334,10
pumping,5,5,0.8333333333333334,10
adventure,21,25,0.8076923076923077,46
interfering,4,4,0.8,8
waitress,4,4,0.8,8
intentionally,4,4,0.8,8
pumps,12,14,0.8,26
yearsterms,4,4,0.8,8
locks,11,13,0.7857142857142857,24
generators,11,13,0.7857142857142857,24
weather,40,50,0.7843137254901961,90
perm,21,26,0.7777777777777778,47
npi,7,8,0.7777777777777778,15
reviewed,23,29,0.7666666666666667,52
subcontractors,13,16,0.7647058823529411,29
sanitation,25,32,0.7575757575757576,57
tendering,3,3,0.75,6
composites,3,3,0.75,6
partie,3,3,0.75,6
atleast,3,3,0.75,6
honestly,6,7,0.75,13
electrodes,3,3,0.75,6
deviation,3,3,0.75,6
rings,3,3,0.75,6
hazard,9,11,0.75,20
overlook,3,3,0.75,6
enrolling,3,3,0.75,6
compressors,3,3,0.75,6
engineerduration,3,3,0.75,6
permanentlocation,3,3,0.75,6
accepting,45,60,0.7377049180327869,105
beverage,40,54,0.7272727272727273,94
consults,8,10,0.7272727272727273,18
rebates,5,6,0.7142857142857143,11
belts,5,6,0.7142857142857143,11
bodies,10,13,0.7142857142857143,23
earliest,12,16,0.7058823529411765,28
mold,14,19,0.7,33
thomson,7,9,0.7,16
typing,53,75,0.6973684210526315,128
bars,21,30,0.6774193548387096,51
numeric,12,17,0.6666666666666666,29
surg,4,5,0.6666666666666666,9
rfis,4,5,0.6666666666666666,9
questionnaire,6,8,0.6666666666666666,14
ssas,4,5,0.6666666666666666,9
timers,6,8,0.6666666666666666,14
variations,4,5,0.6666666666666666,9
esp,4,5,0.6666666666666666,9
nuclear,4,5,0.6666666666666666,9
authorisation,4,5,0.6666666666666666,9
emission,4,5,0.6666666666666666,9
datasheets,6,8,0.6666666666666666,14
separation,8,11,0.6666666666666666,19
clerk,99,149,0.66,248
boss,13,19,0.65,32
fee,20,30,0.6451612903225806,50
theft,7,10,0.6363636363636364,17
timejob,21,32,0.6363636363636364,53
deputed,12,18,0.631578947368421,30
vam,46,72,0.6301369863013698,118
mechanics,22,34,0.6285714285714286,56
employ,55,87,0.625,142
adequately,5,7,0.625,12
qatar,36,57,0.6206896551724138,93
trillion,8,12,0.6153846153846154,20
lawyers,19,30,0.6129032258064516,49
housekeeping,62,101,0.6078431372549019,163
theories,3,4,0.6,7
steadily,3,4,0.6,7
ash,3,4,0.6,7
abandonment,3,4,0.6,7
submittals,3,4,0.6,7
lobortis,3,4,0.6,7
reentering,3,4,0.6,7
lifeline,3,4,0.6,7
dermatology,3,4,0.6,7
customersensure,3,4,0.6,7
ordinances,3,4,0.6,7
recipes,9,14,0.6,23
transcribe,3,4,0.6,7
speakers,21,34,0.6,55
earns,3,4,0.6,7
philly,3,4,0.6,7
simulation,14,23,0.5833333333333334,37
